Requirement,Sanitized topic,Category,Accounting workbook,Accepted repository baseline,Post-meeting answer,Interpretation,Spec capability,Decision state,Task gate,Evidence gate,Post source locator,Accounting locator,Baseline locator,Delivery disposition
RFP-001,Lifecycle,Application,Partial,Partial,Demonstrated,Future/meeting classification; not new runtime evidence,FR-003,Agent-resolved Q001-Q100; lead adoption pending,T003 T011 T012 T015 T016 T017 T025 T029 T030 T031 T032 T033,FR-003 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E3,S2: Requirement Detail!E5,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A reservation/allocation/unused release; B allocated reclaim/reuse
RFP-002,Dual-stack records,Application,Demonstrated,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-008,Agent-resolved Q001-Q100; lead adoption pending,T016 T018 T025 T039 T040,FR-008 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E4,S2: Requirement Detail!E6,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A preserve metrics/current holds; B prefix UI
RFP-003,Subnet editing,Application,Demonstrated,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-019,Agent-resolved Q001-Q100; lead adoption pending,T005 T006 T010 T015 T018 T021 T025,FR-019 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E5,S2: Requirement Detail!E7,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A compatibility under scoped access
RFP-004,Permissions,Application,Partial,Partial,Demonstrated,Future/meeting classification; not new runtime evidence,FR-005,Agent-resolved Q001-Q100; lead adoption pending,T003 T004 T005 T006 T007 T025,FR-005 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E6,S2: Requirement Detail!E8,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A trusted internal domain enforcement
RFP-005,Activity audit,Application,Partial,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-001,Agent-resolved Q001-Q100; lead adoption pending,T019 T025 T028,FR-001 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E7,S2: Requirement Detail!E9,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A evidence accounting; lead adjudication
RFP-006,Search and reports,Application,Partial,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-019,Agent-resolved Q001-Q100; lead adoption pending,T005 T006 T010 T015 T018 T021 T025,FR-019 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E8,S2: Requirement Detail!E10,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A compatibility under scoped access
RFP-007,Browser interface,Application,Demonstrated,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-019,Agent-resolved Q001-Q100; lead adoption pending,T005 T006 T010 T015 T018 T021 T025,FR-019 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E9,S2: Requirement Detail!E11,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A compatibility under scoped access
RFP-008,Tenant isolation,Deployment,Missing,Missing,Demonstrated,Future/meeting classification; not new runtime evidence,FR-005,Agent-resolved Q001-Q100; lead adoption pending,T003 T004 T005 T006 T007 T025,FR-005 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E10,S2: Requirement Detail!E12,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A trusted internal domain enforcement
RFP-009,Request portal,Application,Demonstrated,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-004,Agent-resolved Q001-Q100; lead adoption pending,T013 T014 T015 T020 T025 T029 T031 T032 T033,FR-004 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E11,S2: Requirement Detail!E13,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A simulated ticket; B service-reference reassignment; live deferred
RFP-010,Central service,Deployment,Demonstrated,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-009,Agent-resolved Q001-Q100; lead adoption pending,T005 T009 T012 T014 T017 T020 T021 T024 T025,FR-009 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E12,S2: Requirement Detail!E14,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A local API/offline pack; other interfaces documented
RFP-011,DNS/DHCP management,Integration,Missing,Missing,Demonstrated,Future/meeting classification; not new runtime evidence,FR-007,Agent-resolved Q001-Q100; lead adoption pending,T018 T020 T034 T035 T036 T037 T038 T040,FR-007 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E13,S2: Requirement Detail!E15,S3: docs/QUESTIONNAIRE_ROW_MAP.md,Existing evidence retained; B synthetic DHCP; live deferred
RFP-012,API access,Application,Demonstrated,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-009,Agent-resolved Q001-Q100; lead adoption pending,T005 T009 T012 T014 T017 T020 T021 T024 T025,FR-009 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E14,S2: Requirement Detail!E16,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A local API/offline pack; other interfaces documented
RFP-013,API-driven product,Application,Demonstrated,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-009,Agent-resolved Q001-Q100; lead adoption pending,T005 T009 T012 T014 T017 T020 T021 T024 T025,FR-009 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E15,S2: Requirement Detail!E17,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A local API/offline pack; other interfaces documented
RFP-014,No single failure point,Deployment,Missing,Missing,Demonstrated,Future/meeting classification; not new runtime evidence,FR-016,Agent-resolved Q001-Q100; lead adoption pending,T003 T019 T023 T024 T025,FR-016 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E16,S2: Requirement Detail!E18,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A stopped recovery; C HA/encryption/full outage qualification
RFP-015,Active deployment modes,Deployment,Missing,Missing,Demonstrated,Future/meeting classification; not new runtime evidence,FR-016,Agent-resolved Q001-Q100; lead adoption pending,T003 T019 T023 T024 T025,FR-016 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E17,S2: Requirement Detail!E19,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A stopped recovery; C HA/encryption/full outage qualification
RFP-016,Failover,Deployment,Missing,Missing,Demonstrated,Future/meeting classification; not new runtime evidence,FR-016,Agent-resolved Q001-Q100; lead adoption pending,T003 T019 T023 T024 T025,FR-016 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E18,S2: Requirement Detail!E20,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A stopped recovery; C HA/encryption/full outage qualification
RFP-017,Geographical recovery,Deployment,Missing,Missing,Demonstrated,Future/meeting classification; not new runtime evidence,FR-016,Agent-resolved Q001-Q100; lead adoption pending,T003 T019 T023 T024 T025,FR-016 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E19,S2: Requirement Detail!E21,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A stopped recovery; C HA/encryption/full outage qualification
RFP-018,Backup and restore,Deployment,Demonstrated,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-016,Agent-resolved Q001-Q100; lead adoption pending,T003 T019 T023 T024 T025,FR-016 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E20,S2: Requirement Detail!E22,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A stopped recovery; C HA/encryption/full outage qualification
RFP-019,Recovery point,Deployment,Missing,Missing,Demonstrated,Future/meeting classification; not new runtime evidence,FR-016,Agent-resolved Q001-Q100; lead adoption pending,T003 T019 T023 T024 T025,FR-016 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E21,S2: Requirement Detail!E23,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A stopped recovery; C HA/encryption/full outage qualification
RFP-020,Recovery time,Deployment,Missing,Partial,Demonstrated,Future/meeting classification; not new runtime evidence,FR-016,Agent-resolved Q001-Q100; lead adoption pending,T003 T019 T023 T024 T025,FR-016 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E22,S2: Requirement Detail!E24,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A stopped recovery; C HA/encryption/full outage qualification
RFP-021,Encryption,Deployment,Missing,Missing,Demonstrated,Future/meeting classification; not new runtime evidence,FR-016,Agent-resolved Q001-Q100; lead adoption pending,T003 T019 T023 T024 T025,FR-016 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E23,S2: Requirement Detail!E25,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A stopped recovery; C HA/encryption/full outage qualification
RFP-022,Health and alerts,Deployment,Partial,Partial,Demonstrated,Future/meeting classification; not new runtime evidence,FR-006,Agent-resolved Q001-Q100; lead adoption pending,T016 T017 T018 T025,FR-006 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E24,S2: Requirement Detail!E26,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A bounded notices/existing exception semantics
RFP-023,Hybrid environments,Deployment,Missing,Partial,Demonstrated,Future/meeting classification; not new runtime evidence,FR-016,Agent-resolved Q001-Q100; lead adoption pending,T003 T019 T023 T024 T025,FR-016 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E25,S2: Requirement Detail!E27,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A stopped recovery; C HA/encryption/full outage qualification
RFP-024,Virtual network support,Deployment,Missing,Missing,Demonstrated,Future/meeting classification; not new runtime evidence,FR-018,Agent-resolved Q001-Q100; lead adoption pending,T002 T019,FR-018 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E26,S2: Requirement Detail!E28,S3: docs/QUESTIONNAIRE_ROW_MAP.md,C managed-network inventory contract; no controller adapter
RFP-025,Carrier scale,Scale,Missing,Missing,Demonstrated,Future/meeting classification; not new runtime evidence,FR-017,Agent-resolved Q001-Q100; lead adoption pending,T019,FR-017 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E27,S2: Requirement Detail!E29,S3: docs/QUESTIONNAIRE_ROW_MAP.md,C future scale protocol; not measured
RFP-026,Network domains,Application,Partial,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-005,Agent-resolved Q001-Q100; lead adoption pending,T003 T004 T005 T006 T007 T025,FR-005 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E28,S2: Requirement Detail!E30,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A trusted internal domain enforcement
RFP-027,Extra metadata,Application,Demonstrated,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-014,Agent-resolved Q001-Q100; lead adoption pending,T002 T008 T011 T019 T022,FR-014 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E29,S2: Requirement Detail!E31,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A fixed mappings/policy and documentary gap assessment
RFP-028,Classification,Application,Demonstrated,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-014,Agent-resolved Q001-Q100; lead adoption pending,T002 T008 T011 T019 T022,FR-014 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E30,S2: Requirement Detail!E32,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A fixed mappings/policy and documentary gap assessment
RFP-029,Private-space overlap,Application,Demonstrated,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-014,Agent-resolved Q001-Q100; lead adoption pending,T002 T008 T011 T019 T022,FR-014 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E31,S2: Requirement Detail!E33,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A fixed mappings/policy and documentary gap assessment
RFP-030,Prefix hierarchy,Application,Demonstrated,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-014,Agent-resolved Q001-Q100; lead adoption pending,T002 T008 T011 T019 T022,FR-014 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E32,S2: Requirement Detail!E34,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A fixed mappings/policy and documentary gap assessment
RFP-031,Common metadata,Application,Demonstrated,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-014,Agent-resolved Q001-Q100; lead adoption pending,T002 T008 T011 T019 T022,FR-014 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E33,S2: Requirement Detail!E35,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A fixed mappings/policy and documentary gap assessment
