id,phase,story,parallel,tier,owner,dependencies,requirements,files,description,contracts,completion_gate,evidence,spawn_condition,non_claims,escalation,handoff
T001,setup,,False,A,Astra / Main Lead 5.0,,FR-001 FR-005 FR-015 FR-021,specs/001-postmeeting-bridge/delivery/authorization-and-ownership.md,"Adopt contracts; record actual implementation/validation authority, model/staff availability, base SHA, schema reservation and file ownership.",C-A C-M C-L C-T C-O,Explicit lead decision before dispatch; no inferred execution permission.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T002,setup,,True,A,Grok 4.6 under Grok 4.7,T001,FR-009 FR-010 FR-012 FR-014 FR-018 FR-020,specs/001-postmeeting-bridge/delivery/source-authority.md,"Inventory source/field authority and missing vendor/business facts; Cisco is future documentation priority, no invented product/endpoint.",C-M C-T C-O,"Every gap has a requirement, owner role and evidence gate.","Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T003,foundation,,False,A,Terra in Codex,T001,FR-002 FR-003 FR-004 FR-005 FR-016,backend/ipam_demo/schema.sql;backend/ipam_demo/schema_v6.sql;backend/ipam_demo/store.py;backend/ipam_demo/seed.py,"Implement Tier A assessments, reservation/release/notice, request reservation link, ticket intent/attempt/effect and scoped preset schema. Positive versions; ordinals 1..3; unique active reservations/correlations. Preserve IDs/FKs and quarantine legacy presets; no Tier B schema. Retain versioned ticket route assignments; attempts pin assignment version and chosen synthetic scenario. Scoped presets quarantine legacy ownership.",data-model.md C-M C-L C-T,Explicit recognized upgrade and fresh initialization; no destructive reseed or history loss.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T004,foundation,,False,A,Terra in Codex,T003,FR-005 FR-015,backend/ipam_demo/access.py;backend/ipam_demo/models.py,"Implement bearer-digest principal and reviewed config: token at least 256 random bits, enabled/UTC expiry/roles/domains/revision; one domain, no actor fallback/admin bypass, no secret logging. Define the fixed internal evidence coordinator with explicit complete synthetic feed scope/source grants, global evidence operations only and no user delegation.",C-A,"Default-deny trusted context, fail-closed invalid authority and stopped/reload revocation.","Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T005,foundation,,False,A,Terra in Codex,T004,FR-005 FR-009 FR-013 FR-015 FR-019,backend/ipam_demo/app.py;backend/ipam_demo/inventory.py;backend/ipam_demo/reports.py;backend/ipam_demo/imports.py;backend/ipam_demo/source_catalog.py;backend/ipam_demo/scheduler.py;backend/ipam_demo/workflow.py;backend/ipam_demo/feed_adapter.py;backend/ipam_demo/inventory_commands.py,"Enforce all C-A routes/nested serializers before counts/export; project authorized saved runs without raw mutation; deny mixed raw/unmapped legacy data; scoped presets/audit/timer/docs/readiness, anonymous minimal liveness only. Global run/acquire/observation-callback mutations and receipts are coordinator-only; ordinary imports intended candidates only, callback disabled, mixed/observation/callback=true rejected before persistence. Ordinary refresh reads saved projections. Preserve Operator inventory_edit and independent Approver correction decisions without granting direct edit rights to Approver; adapt the existing correction helper.",C-A,Every route has allow/deny/projection classification and no global data leak.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T006,foundation,,True,A,DeepSeek UI under Terra,T004,FR-005 FR-009 FR-015 FR-019,frontend/src/api.ts;frontend/src/firstPathApi.ts;frontend/src/workflowApi.ts;frontend/src/inventoryCommandsApi.ts;frontend/src/correctionApi.ts;frontend/src/scheduleApi.ts;frontend/src/App.tsx;frontend/src/FirstPath.tsx;frontend/src/Schedule.tsx;frontend/src/CapacityReports.tsx;frontend/src/Corrections.tsx;frontend/src/InventoryEditor.tsx;frontend/src/Workflow.tsx,"Wire memory-only token/domain through all clients and authenticated blob downloads; remove actor picker as identity; expose auth/stale/permission failures. Disable global run/acquisition/schedule/callback controls for ordinary domain sessions; saved-result refresh only. Remove all remaining actor pickers; bind protected state/retries to principal/domain/config revision, reject late prior-context responses, purge unscoped legacy retry payloads and require authenticated original-context recovery after ambiguous outcomes.",C-A,No token in URL/localStorage/logs; browser uses trusted context everywhere. No prior-context data/retry disclosure or blind resubmission on identity/domain change.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T007,foundation,,False,A,Luna independent verifier,T005 T006,FR-005 FR-015 FR-019,specs/001-postmeeting-bridge/delivery/access-review.md,"Review all routes, clients, legacy data and errors against C-A before feature integration; record allowed/denied/projected/quarantined cases.",C-A,No unresolved source/design access findings; runtime still requires T025.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T008,US1,US1,False,A,DeepSeek backend under Terra,T007,FR-002 FR-014,backend/ipam_demo/migration_compare.py,"Reuse parser/receipts for immutable assessment. Enforce input=accepted+rejected+duplicate and accepted=added+changed+unchanged+conflicting; conflict precedence, active-only separation, governed snapshot and independent sign-off/staleness; no promotion. Preserve canonical normalized JSON replay (whitespace/key-order equivalent); abandoning review changes no persisted state.",C-M,Exactly one class per accepted row; partial/conflicted/stale cannot sign; active state unchanged.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T009,US1,US1,False,A,Terra in Codex,T008,FR-002 FR-005 FR-009,backend/ipam_demo/app.py;backend/ipam_demo/models.py,"Expose C-M create/list/detail/signoff/export with existing AppError/transaction, trusted context and idempotency/version guards.",C-A C-M,Only independent exact-current assessment sign-off; no cutover endpoint.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T010,US1,US1,True,A,DeepSeek UI under Terra,T008 T006,FR-002 FR-019,frontend/src/MigrationCompare.tsx;frontend/src/FirstPath.tsx;frontend/src/firstPathApi.ts;frontend/src/App.tsx,"Render receipt/comparison layers, active-only/conflict/refused/stale/sign-off states and scoped same-assessment export; no activation control.",C-A C-M,Usable assessment against T009; visible complete accounting and immutable provenance.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
