goal_id,part,priority,owner,estimate_focused_hours,dependencies,observable_goal,linked_requirement_ids,acceptance_description,claim_limit,implementation_status
G01,1,Core,Lead/data,0.75-1.25,None,Scoped inventory model,RFP-002 RFP-029 RFP-030 RFP-031,"Persist IPv4 and IPv6 prefixes with namespace, parent and fixed metadata. Same private CIDR in different namespaces and valid parent-child containment are retained.",Bounded local inventory; no multi-tenancy or carrier scale.,Not built or verified
G02,1,Core,UI agent,0.75-1.25,G01,Searchable inventory and detail,RFP-006 RFP-007 RFP-028,"Search/filter synthetic prefixes and open owner, purpose, tags, hierarchy and related records in a browser.",Supports search/UI/tagging; does not complete advanced customizable reporting.,Not built or verified
G03,1,Core,Lead/API,0.25-0.75,G01,Documented application API,RFP-010 RFP-012 RFP-013,"Inventory, sources, findings and workflow use documented API contracts; supplied examples match the eventual implementation.",Local central service; broad architecture claims remain bounded.,Not built or verified
G04,1,Stretch,Lead/UI,1.5-3,G01 G02,Subnet editing and custom metadata,RFP-003 RFP-027 RFP-035,Create/edit valid scoped subnets with overlap feedback and add one user-defined field without losing existing values.,Does not establish full IPv6 planning.,Not built or verified
G05,2,Core,Data agent,0.75-1.25,G01,Deterministic three-source replay,RFP-033 RFP-063,"A fixed seed and clock generate synthetic inventory, DHCP and routing batches with deterministic record IDs. Later intended-inventory imports are staged without silently overwriting the active ledger; accepted DHCP/routing batches feed actual reruns.",Synthetic replay is not real integration or continuous discovery.,Not built or verified
G06,2,Core,Data agent,0.5-1,G05,Source provenance and freshness,RFP-036 RFP-061 RFP-063,"Show source, observation time, ingestion time, declared scope, completeness, raw record references and fresh/stale/failed state.",Source catalog and replay illustrate only parts of discovery requirements.,Not built or verified
G07,2,Core,Data agent,0.5-1,G05,Visible import quality and rejection,RFP-033 RFP-034 RFP-037 RFP-062 RFP-087 RFP-089,Import the supported fixture format; invalid rows and duplicate input records are retained or rejected visibly with counts and reasons; accepted plus rejected equals input.,Bounded format migration; not arbitrary legacy systems.,Not built or verified
G08,2,Core,Lead/data,0.5-1,G02 G06 G07,Illustrative assessment export,RFP-032 RFP-037 RFP-038 RFP-039 RFP-040 RFP-079,"Export inventory quality, source/integration catalog and ownership gaps; process and maturity sections are fictional examples or explicitly not assessed.",Illustrates assessment deliverables; cannot establish real organizational findings.,Not built or verified
G09,3,Core,Rules agent,0.25-0.75,G05 G06,Pool pressure finding,RFP-073 RFP-074 RFP-076,"A synthetic rising-occupancy pool crosses its declared threshold; show capacity denominator, eligible samples, window and source references.","Capacity signal is lease occupancy, not traffic or subscriber count.",Not built or verified
G10,3,Core,Rules agent,0.5-1,G05 G06,Oversized and zombie candidates,RFP-065 RFP-075,Low-occupancy and zero-lease pools produce distinct review candidates over a complete 30-day eligible window; static or incomplete feeds do not qualify.,Investigation candidates only; no safe-to-reclaim or actual recovery claim.,Not built or verified
G11,3,Core,Rules agent,0.25-0.75,G05 G06,Ghost DHCP scope,RFP-063 RFP-066,A fresh DHCP record in declared managed space with no intended inventory produces an evidenced discrepancy.,Missing inventory does not itself prove unauthorized usage.,Not built or verified
G12,3,Core,Rules agent,0.25-0.75,G05 G06,Unregistered announcement,RFP-063 RFP-066,"A managed route absent from eligible inventory produces an evidenced discrepancy, without treating arbitrary Internet routes as errors.",No route withdrawal or authorization verdict.,Not built or verified
G13,3,Core,Rules agent,0.25-0.75,G05 G06,Missing expected route,RFP-063 RFP-069,"An intended block whose policy requires announcement, absent from a complete eligible routing view, produces a finding; show the announcement policy.",Failed/missing route feeds must not produce this absence conclusion.,Not built or verified
G14,3,Core,Rules agent,0.5-1,G01 G05,Assignment conflicts and valid overlap,RFP-029 RFP-034 RFP-062 RFP-064 RFP-085,Incompatible assignments in the same namespace and overlapping time conflict with both records attached; sequential leases and valid cross-namespace reuse do not.,Duplicate imported rows and semantic assignment conflicts stay distinct.,Not built or verified
G15,3,Core,Rules/UI agent,0.25-0.75,G09 G10 G11 G12 G13 G14,Healthy and unknown evidence states,RFP-061 RFP-062 RFP-063 RFP-065,Show a healthy control and an incomplete/stale-source control; missing required evidence yields unknown and suppresses unsupported absence-based findings.,"A necessary behavior across rules, not a separate claim of real monitoring.",Not built or verified
G16,3,Stretch,Lead/rules,0.75-1.5,G09 G10 G11 G12 G13 G14,Historical reconciliation and report,RFP-068 RFP-069 RFP-071,Persist two reconciliation runs and export changed/unchanged/resolved findings with timestamps and evidence.,Scheduling remains partial unless actual repeat execution is implemented.,Not built or verified
G17,4,Core,Calculation/UI agent,0.75-1.5,G05 G09,Occupancy history and explained forecast,RFP-073 RFP-074 RFP-076,"Show actual computed history and a documented positive-growth exhaustion estimate, plus exhausted/no-growth/insufficient-data states.",Synthetic illustrative forecast; not calibrated production capacity planning.,Not built or verified
G18,4,Core,UI agent,0.5-1,G02 G09 G10 G11 G12 G13 G14 G17,Dashboard with evidence drilldown,RFP-007 RFP-069 RFP-073 RFP-075 RFP-076 RFP-077,Overview totals come from saved calculations; filters and finding clicks lead to matching detail evidence; candidate space is separate from actually released space.,"Functional demo dashboard, not proof of all executive/reporting needs.",Not built or verified
G19,4,Stretch,Calculation/UI agent,1-2,G01 G17,IPv6 planning view,RFP-035 RFP-095,Display scoped delegated-prefix capacity and a region/prefix planning view without enumerating hosts or using IPv4 scarcity math.,Broader geographic allocation policy remains partial.,Not built or verified
G20,4,Stretch,UI agent,0.75-1.5,G18,Saved operational report filters,RFP-006 RFP-069 RFP-076 RFP-077 RFP-078,Save one report/filter configuration and export the matching computed observations and finding details.,Export is not a compliance certification.,Not built or verified
